Country,Population,Urban Population,Agricultural Land(%),Land Area (km2)
Afghanistan,38041754.0,9797273.0,0.581,652230.0
Albania,2854191.0,1747593.0,0.431,28748.0
Algeria,43053054.0,31510100.0,0.174,2381741.0
Andorra,77142.0,67873.0,0.4,468.0
Angola,31825295.0,21061025.0,0.475,1246700.0
Antigua and Barbuda,97118.0,23800.0,0.205,443.0
Argentina,44938712.0,41339571.0,0.5429999999999999,2780400.0
Armenia,2957731.0,1869848.0,0.589,29743.0
Australia,25766605.0,21844756.0,0.48200000000000004,7741220.0
Austria,8877067.0,5194416.0,0.324,83871.0
Azerbaijan,10023318.0,5616165.0,0.5770000000000001,86600.0
The Bahamas,389482.0,323784.0,0.013999999999999999,13880.0
Bahrain,1501635.0,1467109.0,0.111,765.0
Bangladesh,167310838.0,60987417.0,0.706,148460.0
Barbados,287025.0,89431.0,0.233,430.0
Belarus,9466856.0,7482982.0,0.42,207600.0
Belgium,11484055.0,11259082.0,0.446,30528.0
Belize,390353.0,179039.0,0.07,22966.0
Benin,11801151.0,5648149.0,0.33299999999999996,112622.0
Bhutan,727145.0,317538.0,0.136,38394.0
Bolivia,11513100.0,8033035.0,0.348,1098581.0
Bosnia and Herzegovina,3301000.0,1605144.0,0.431,51197.0
Botswana,2346179.0,1616550.0,0.456,581730.0
Brazil,212559417.0,183241641.0,0.33899999999999997,8515770.0
Brunei,433285.0,337711.0,0.027000000000000003,5765.0
Bulgaria,6975761.0,5256027.0,0.46299999999999997,110879.0
Burkina Faso,20321378.0,6092349.0,0.442,274200.0
Burundi,11530580.0,1541177.0,0.792,27830.0
Ivory Coast,25716544.0,13176900.0,0.648,322463.0
Cape Verde,483628.0,364029.0,0.196,4033.0
Cambodia,16486542.0,3924621.0,0.309,181035.0
Cameroon,25876380.0,14741256.0,0.20600000000000002,475440.0
Canada,36991981.0,30628482.0,0.069,9984670.0
Central African Republic,4745185.0,1982064.0,0.08199999999999999,622984.0
Chad,15946876.0,3712273.0,0.397,1284000.0
Chile,18952038.0,16610135.0,0.212,756096.0
China,1397715000.0,842933962.0,0.562,9596960.0
Colombia,50339443.0,40827302.0,0.40299999999999997,1138910.0
Comoros,850886.0,248152.0,0.715,2235.0
Republic of the Congo,5380508.0,3625010.0,0.311,342000.0
Costa Rica,5047561.0,4041885.0,0.345,51100.0
Croatia,4067500.0,2328318.0,0.276,56594.0
Cuba,11333483.0,8739135.0,0.599,110860.0
Cyprus,1198575.0,800708.0,0.122,9251.0
Czech Republic,10669709.0,7887156.0,0.452,78867.0
Democratic Republic of the Congo,86790567.0,39095679.0,0.11599999999999999,2344858.0
Denmark,5818553.0,5119978.0,0.62,43094.0
Djibouti,973560.0,758549.0,0.7340000000000001,23200.0
Dominica,71808.0,50830.0,0.33299999999999996,751.0
Dominican Republic,10738958.0,8787475.0,0.48700000000000004,48670.0
Ecuador,17373662.0,11116711.0,0.222,283561.0
Egypt,100388073.0,42895824.0,0.038,1001450.0
El Salvador,6453553.0,4694702.0,0.764,21041.0
Equatorial Guinea,1355986.0,984812.0,0.10099999999999999,28051.0
Eritrea,6333135.0,1149670.0,0.752,117600.0
Estonia,1331824.0,916024.0,0.231,45228.0
Eswatini,1093238.0,0.0,0.0,17364.0
Ethiopia,112078730.0,23788710.0,0.363,1104300.0
Fiji,889953.0,505048.0,0.233,18274.0
Finland,5520314.0,4716888.0,0.075,338145.0
France,67059887.0,54123364.0,0.524,643801.0
Gabon,2172579.0,1949694.0,0.2,267667.0
The Gambia,2347706.0,1453958.0,0.598,11300.0
Georgia,3720382.0,2196476.0,0.345,69700.0
Germany,83132799.0,64324835.0,0.47700000000000004,357022.0
Ghana,30792608.0,17249054.0,0.69,238533.0
Greece,10716322.0,8507474.0,0.47600000000000003,131957.0
Grenada,112003.0,40765.0,0.235,349.0
Guatemala,16604026.0,8540945.0,0.36,108889.0
Guinea,12771246.0,4661505.0,0.59,245857.0
Guinea-Bissau,1920922.0,840922.0,0.58,36125.0
Guyana,782766.0,208912.0,0.086,214969.0
Haiti,11263077.0,6328948.0,0.6679999999999999,27750.0
Vatican City,836.0,0.0,0.0,0.0
Honduras,9746117.0,5626433.0,0.289,112090.0
Hungary,9769949.0,6999582.0,0.584,93028.0
Iceland,361313.0,339110.0,0.187,103000.0
India,1366417754.0,471031528.0,0.604,3287263.0
Indonesia,270203917.0,151509724.0,0.315,1904569.0
Iran,82913906.0,62509623.0,0.282,1648195.0
Iraq,39309783.0,27783368.0,0.214,438317.0
Republic of Ireland,5007069.0,3133123.0,0.645,70273.0
Israel,9053300.0,8374393.0,0.24600000000000002,20770.0
